           s         tex1         tex2         tex3         tex4         tex5
      0.0000       1.1652       1.0882       1.0574       1.0092       0.9977
      0.0500       1.2479       1.1793       1.1518       1.1089       1.0986
      0.1000       1.3307       1.2704       1.2463       1.2086       1.1995
      0.1500       1.4134       1.3615       1.3407       1.3082       1.3005
      0.2000       1.4961       1.4525       1.4351       1.4079       1.4014
      0.2500       1.5788       1.5436       1.5296       1.5076       1.5023
      0.3000       1.6615       1.6347       1.6240       1.6073       1.6033
      0.3500       1.7442       1.7258       1.7184       1.7069       1.7042
      0.4000       1.8269       1.8169       1.8129       1.8066       1.8051
      0.4500       1.9096       1.9080       1.9073       1.9063       1.9060
      0.5000       1.9924       1.9991       2.0018       2.0060       2.0070
      0.5500       2.0751       2.0902       2.0962       2.1056       2.1079
      0.6000       2.1578       2.1813       2.1906       2.2053       2.2088
      0.6500       2.2405       2.2723       2.2851       2.3050       2.3098
      0.7000       2.3232       2.3634       2.3795       2.4047       2.4107
      0.7500       2.4059       2.4545       2.4740       2.5043       2.5116
      0.8000       2.4886       2.5456       2.5684       2.6040       2.6126
      0.8500       2.5714       2.6367       2.6628       2.7037       2.7135
      0.9000       2.6541       2.7278       2.7573       2.8034       2.8144
      0.9500       2.7368       2.8189       2.8517       2.9030       2.9154
      1.0000       2.8195       2.9100       2.9462       3.0027       3.0163
