           s         tex1         tex2         tex3         tex4         tex5
      0.0000       0.4556       0.3572       0.2043       0.1880       0.1843
      0.0500       0.4556       0.3572       0.2043       0.1880       0.1843
      0.1000       0.9470       0.6915       0.2043       0.1880       0.1843
      0.1500       1.2345       0.8870       0.4432       0.3978       0.3761
      0.2000       1.4385       1.0258       0.6127       0.5467       0.5122
      0.2500       1.5967       1.1334       0.7441       0.6621       0.6177
      0.3000       1.7260       1.2213       0.8516       0.7565       0.7040
      0.3500       1.8353       1.2957       0.9424       0.8362       0.7769
      0.4000       1.9300       1.3601       1.0210       0.9053       0.8400
      0.4500       2.0135       1.4169       1.0904       0.9663       0.8958
      0.5000       2.0882       1.4677       1.1525       1.0208       0.9456
      0.5500       2.1558       1.5136       1.2087       1.0701       0.9907
      0.6000       2.2175       1.5556       1.2599       1.1151       1.0318
      0.6500       2.2742       1.5942       1.3071       1.1565       1.0697
      0.7000       2.3268       1.6299       1.3508       1.1949       1.1047
      0.7500       2.3757       1.6632       1.3914       1.2306       1.1374
      0.8000       2.4214       1.6943       1.4294       1.2640       1.1679
      0.8500       2.4644       1.7236       1.4651       1.2954       1.1966
      0.9000       2.5049       1.7511       1.4988       1.3249       1.2236
      0.9500       2.5433       1.7772       1.5307       1.3529       1.2492
      1.0000       2.5797       1.8020       1.5609       1.3795       1.2735
