        hour            z         tsoi
       0.500        0.000       10.381
       0.500       -1.250       10.886
       0.500       -3.750       11.786
       0.500       -6.250       12.570
       0.500       -8.750       13.237
       0.500      -11.250       13.793
       0.500      -13.750       14.246
       0.500      -16.250       14.605
       0.500      -18.750       14.881
       0.500      -21.250       15.086
       0.500      -23.750       15.231
       0.500      -26.250       15.326
       0.500      -28.750       15.380
       0.500      -31.250       15.403
       0.500      -33.750       15.402
       0.500      -36.250       15.384
       0.500      -38.750       15.353
       0.500      -41.250       15.315
       0.500      -43.750       15.272
       0.500      -46.250       15.228
       0.500      -48.750       15.185
       0.500      -51.250       15.144
       0.500      -53.750       15.106
       0.500      -56.250       15.071
       0.500      -58.750       15.041
       0.500      -61.250       15.014
       0.500      -63.750       14.992
       0.500      -66.250       14.973
       0.500      -68.750       14.957
       0.500      -71.250       14.945
       0.500      -73.750       14.935
       0.500      -76.250       14.927
       0.500      -78.750       14.921
       0.500      -81.250       14.917
       0.500      -83.750       14.914
       0.500      -86.250       14.911
       0.500      -88.750       14.910
       0.500      -91.250       14.909
       0.500      -93.750       14.908
       0.500      -96.250       14.907
       0.500      -98.750       14.907
       1.000        0.000       10.170
       1.000       -1.250       10.647
       1.000       -3.750       11.515
       1.000       -6.250       12.286
       1.000       -8.750       12.955
       1.000      -11.250       13.524
       1.000      -13.750       13.996
       1.000      -16.250       14.380
       1.000      -18.750       14.683
       1.000      -21.250       14.915
       1.000      -23.750       15.087
       1.000      -26.250       15.207
       1.000      -28.750       15.285
       1.000      -31.250       15.329
       1.000      -33.750       15.346
       1.000      -36.250       15.343
       1.000      -38.750       15.325
       1.000      -41.250       15.297
       1.000      -43.750       15.263
       1.000      -46.250       15.226
       1.000      -48.750       15.187
       1.000      -51.250       15.149
       1.000      -53.750       15.113
       1.000      -56.250       15.080
       1.000      -58.750       15.050
       1.000      -61.250       15.024
       1.000      -63.750       15.001
       1.000      -66.250       14.982
       1.000      -68.750       14.965
       1.000      -71.250       14.952
       1.000      -73.750       14.941
       1.000      -76.250       14.932
       1.000      -78.750       14.926
       1.000      -81.250       14.920
       1.000      -83.750       14.916
       1.000      -86.250       14.914
       1.000      -88.750       14.911
       1.000      -91.250       14.910
       1.000      -93.750       14.909
       1.000      -96.250       14.908
       1.000      -98.750       14.907
       1.500        0.000       10.043
       1.500       -1.250       10.482
       1.500       -3.750       11.303
       1.500       -6.250       12.048
       1.500       -8.750       12.708
       1.500      -11.250       13.279
       1.500      -13.750       13.764
       1.500      -16.250       14.165
       1.500      -18.750       14.490
       1.500      -21.250       14.746
       1.500      -23.750       14.941
       1.500      -26.250       15.084
       1.500      -28.750       15.184
       1.500      -31.250       15.248
       1.500      -33.750       15.283
       1.500      -36.250       15.295
       1.500      -38.750       15.291
       1.500      -41.250       15.274
       1.500      -43.750       15.249
       1.500      -46.250       15.218
       1.500      -48.750       15.185
       1.500      -51.250       15.151
       1.500      -53.750       15.118
       1.500      -56.250       15.087
       1.500      -58.750       15.058
       1.500      -61.250       15.033
       1.500      -63.750       15.010
       1.500      -66.250       14.990
       1.500      -68.750       14.973
       1.500      -71.250       14.959
       1.500      -73.750       14.947
       1.500      -76.250       14.938
       1.500      -78.750       14.930
       1.500      -81.250       14.924
       1.500      -83.750       14.919
       1.500      -86.250       14.916
       1.500      -88.750       14.913
       1.500      -91.250       14.911
       1.500      -93.750       14.910
       1.500      -96.250       14.908
       1.500      -98.750       14.907
       2.000        0.000       10.000
       2.000       -1.250       10.395
       2.000       -3.750       11.154
       2.000       -6.250       11.860
       2.000       -8.750       12.499
       2.000      -11.250       13.064
       2.000      -13.750       13.552
       2.000      -16.250       13.964
       2.000      -18.750       14.305
       2.000      -21.250       14.580
       2.000      -23.750       14.796
       2.000      -26.250       14.960
       2.000      -28.750       15.080
       2.000      -31.250       15.162
       2.000      -33.750       15.214
       2.000      -36.250       15.242
       2.000      -38.750       15.251
       2.000      -41.250       15.245
       2.000      -43.750       15.229
       2.000      -46.250       15.206
       2.000      -48.750       15.179
       2.000      -51.250       15.150
       2.000      -53.750       15.121
       2.000      -56.250       15.092
       2.000      -58.750       15.065
       2.000      -61.250       15.040
       2.000      -63.750       15.017
       2.000      -66.250       14.997
       2.000      -68.750       14.980
       2.000      -71.250       14.965
       2.000      -73.750       14.953
       2.000      -76.250       14.943
       2.000      -78.750       14.935
       2.000      -81.250       14.928
       2.000      -83.750       14.923
       2.000      -86.250       14.918
       2.000      -88.750       14.915
       2.000      -91.250       14.913
       2.000      -93.750       14.911
