       day        z0C         z1         t1         z2         t2         z3         t3         z4         t4
     0.000      0.000     25.000      2.000     55.000      2.000     85.000      2.000    115.000      2.000
     1.000     17.636     25.000      0.478     55.000      1.664     85.000      1.963    115.000      1.998
     2.000     24.942     25.000      0.003     55.000      1.179     85.000      1.757    115.000      1.949
     3.000     30.547     25.000     -1.748     55.000      0.853     85.000      1.522    115.000      1.841
     4.000     35.273     25.000     -2.824     55.000      0.624     85.000      1.316    115.000      1.712
     5.000     39.436     25.000     -3.565     55.000      0.454     85.000      1.143    115.000      1.583
     6.000     43.200     25.000     -4.116     55.000      0.320     85.000      0.996    115.000      1.462
     7.000     46.661     25.000     -4.546     55.000      0.213     85.000      0.872    115.000      1.350
     8.000     49.883     25.000     -4.893     55.000      0.123     85.000      0.765    115.000      1.248
     9.000     52.909     25.000     -5.182     55.000      0.048     85.000      0.671    115.000      1.156
    10.000     55.771     25.000     -5.427     55.000     -0.131     85.000      0.589    115.000      1.072
    11.000     58.493     25.000     -5.637     55.000     -0.570     85.000      0.515    115.000      0.995
    12.000     61.094     25.000     -5.822     55.000     -0.955     85.000      0.450    115.000      0.925
    13.000     63.589     25.000     -5.984     55.000     -1.296     85.000      0.391    115.000      0.860
    14.000     65.989     25.000     -6.129     55.000     -1.602     85.000      0.337    115.000      0.801
    15.000     68.305     25.000     -6.260     55.000     -1.877     85.000      0.288    115.000      0.745
    16.000     70.545     25.000     -6.378     55.000     -2.127     85.000      0.243    115.000      0.694
    17.000     72.716     25.000     -6.485     55.000     -2.355     85.000      0.201    115.000      0.646
    18.000     74.825     25.000     -6.584     55.000     -2.565     85.000      0.163    115.000      0.602
    19.000     76.875     25.000     -6.674     55.000     -2.758     85.000      0.127    115.000      0.560
    20.000     78.872     25.000     -6.758     55.000     -2.937     85.000      0.094    115.000      0.521
    21.000     80.820     25.000     -6.836     55.000     -3.103     85.000      0.063    115.000      0.484
    22.000     82.722     25.000     -6.908     55.000     -3.258     85.000      0.034    115.000      0.449
    23.000     84.581     25.000     -6.976     55.000     -3.403     85.000      0.006    115.000      0.416
    24.000     86.400     25.000     -7.039     55.000     -3.539     85.000     -0.154    115.000      0.384
    25.000     88.182     25.000     -7.099     55.000     -3.667     85.000     -0.344    115.000      0.355
    26.000     89.928     25.000     -7.155     55.000     -3.787     85.000     -0.523    115.000      0.327
    27.000     91.641     25.000     -7.208     55.000     -3.901     85.000     -0.692    115.000      0.300
    28.000     93.323     25.000     -7.258     55.000     -4.009     85.000     -0.853    115.000      0.274
    29.000     94.975     25.000     -7.305     55.000     -4.112     85.000     -1.006    115.000      0.250
    30.000     96.598     25.000     -7.351     55.000     -4.209     85.000     -1.151    115.000      0.226
    31.000     98.195     25.000     -7.394     55.000     -4.302     85.000     -1.289    115.000      0.204
    32.000     99.766     25.000     -7.434     55.000     -4.390     85.000     -1.422    115.000      0.182
    33.000    101.313     25.000     -7.474     55.000     -4.475     85.000     -1.548    115.000      0.162
    34.000    102.837     25.000     -7.511     55.000     -4.555     85.000     -1.669    115.000      0.142
    35.000    104.338     25.000     -7.547     55.000     -4.632     85.000     -1.785    115.000      0.123
    36.000    105.818     25.000     -7.581     55.000     -4.706     85.000     -1.896    115.000      0.105
    37.000    107.278     25.000     -7.614     55.000     -4.778     85.000     -2.003    115.000      0.087
    38.000    108.718     25.000     -7.645     55.000     -4.846     85.000     -2.105    115.000      0.070
    39.000    110.139     25.000     -7.675     55.000     -4.911     85.000     -2.204    115.000      0.054
    40.000    111.542     25.000     -7.705     55.000     -4.975     85.000     -2.299    115.000      0.038
    41.000    112.928     25.000     -7.733     55.000     -5.036     85.000     -2.391    115.000      0.022
    42.000    114.296     25.000     -7.760     55.000     -5.094     85.000     -2.480    115.000      0.008
    43.000    115.649     25.000     -7.786     55.000     -5.151     85.000     -2.565    115.000     -0.053
    44.000    116.986     25.000     -7.811     55.000     -5.206     85.000     -2.648    115.000     -0.162
    45.000    118.308     25.000     -7.836     55.000     -5.259     85.000     -2.728    115.000     -0.266
    46.000    119.615     25.000     -7.859     55.000     -5.310     85.000     -2.805    115.000     -0.368
    47.000    120.909     25.000     -7.882     55.000     -5.360     85.000     -2.880    115.000     -0.466
    48.000    122.188     25.000     -7.904     55.000     -5.408     85.000     -2.953    115.000     -0.561
    49.000    123.454     25.000     -7.926     55.000     -5.454     85.000     -3.024    115.000     -0.654
    50.000    124.708     25.000     -7.946     55.000     -5.500     85.000     -3.092    115.000     -0.744
    51.000    125.949     25.000     -7.967     55.000     -5.544     85.000     -3.159    115.000     -0.831
    52.000    127.177     25.000     -7.986     55.000     -5.586     85.000     -3.223    115.000     -0.916
    53.000    128.394     25.000     -8.005     55.000     -5.628     85.000     -3.286    115.000     -0.999
    54.000    129.600     25.000     -8.024     55.000     -5.668     85.000     -3.347    115.000     -1.079
    55.000    130.794     25.000     -8.042     55.000     -5.707     85.000     -3.407    115.000     -1.158
    56.000    131.978     25.000     -8.059     55.000     -5.745     85.000     -3.465    115.000     -1.234
    57.000    133.151     25.000     -8.076     55.000     -5.783     85.000     -3.521    115.000     -1.308
    58.000    134.314     25.000     -8.093     55.000     -5.819     85.000     -3.576    115.000     -1.381
    59.000    135.467     25.000     -8.109     55.000     -5.854     85.000     -3.629    115.000     -1.452
    60.000    136.610     25.000     -8.125     55.000     -5.888     85.000     -3.682    115.000     -1.520
