       day        z0C         z1         t1         z2         t2         z3         t3         z4         t4
     0.000      0.000     25.000      2.000     55.000      2.000     85.000      2.000    115.000      2.000
     1.000     19.935     25.000      0.456     55.000      1.573     85.000      1.933    115.000      1.993
     2.000     26.555     25.000     -0.090     55.000      1.150     85.000      1.724    115.000      1.932
     3.000     33.784     25.000     -2.487     55.000      0.929     85.000      1.518    115.000      1.825
     4.000     36.593     25.000     -2.994     55.000      0.720     85.000      1.341    115.000      1.710
     5.000     40.430     25.000     -3.180     55.000      0.620     85.000      1.203    115.000      1.596
     6.000     44.549     25.000     -4.412     55.000      0.489     85.000      1.080    115.000      1.494
     7.000     48.133     25.000     -4.567     55.000      0.438     85.000      0.985    115.000      1.400
     8.000     50.682     25.000     -4.681     55.000      0.350     85.000      0.901    115.000      1.318
     9.000     54.315     25.000     -5.347     55.000      0.129     85.000      0.821    115.000      1.240
    10.000     57.060     25.000     -5.504     55.000     -0.114     85.000      0.764    115.000      1.173
    11.000     59.710     25.000     -5.588     55.000     -0.326     85.000      0.700    115.000      1.111
    12.000     62.344     25.000     -5.664     55.000     -0.753     85.000      0.643    115.000      1.050
    13.000     64.542     25.000     -6.064     55.000     -1.501     85.000      0.612    115.000      1.001
    14.000     67.231     25.000     -6.182     55.000     -1.664     85.000      0.565    115.000      0.955
    15.000     69.552     25.000     -6.245     55.000     -1.788     85.000      0.502    115.000      0.906
    16.000     71.233     25.000     -6.298     55.000     -1.898     85.000      0.490    115.000      0.863
    17.000     73.902     25.000     -6.446     55.000     -2.425     85.000      0.469    115.000      0.831
    18.000     75.475     25.000     -6.627     55.000     -2.662     85.000      0.428    115.000      0.797
    19.000     78.171     25.000     -6.698     55.000     -2.781     85.000      0.370    115.000      0.756
    20.000     80.035     25.000     -6.745     55.000     -2.874     85.000      0.302    115.000      0.723
    21.000     81.485     25.000     -6.783     55.000     -2.955     85.000      0.232    115.000      0.701
    22.000     83.711     25.000     -6.836     55.000     -3.179     85.000      0.143    115.000      0.676
    23.000     84.970     25.000     -6.985     55.000     -3.454     85.000      0.003    115.000      0.645
    24.000     87.584     25.000     -7.059     55.000     -3.575     85.000     -0.126    115.000      0.610
    25.000     89.449     25.000     -7.103     55.000     -3.657     85.000     -0.244    115.000      0.595
    26.000     90.900     25.000     -7.136     55.000     -3.724     85.000     -0.351    115.000      0.578
    27.000     92.119     25.000     -7.164     55.000     -3.784     85.000     -0.448    115.000      0.556
    28.000     94.010     25.000     -7.201     55.000     -3.924     85.000     -0.905    115.000      0.529
    29.000     95.472     25.000     -7.299     55.000     -4.126     85.000     -1.067    115.000      0.499
    30.000     97.780     25.000     -7.360     55.000     -4.230     85.000     -1.171    115.000      0.493
    31.000     99.470     25.000     -7.397     55.000     -4.301     85.000     -1.258    115.000      0.481
    32.000    100.825     25.000     -7.425     55.000     -4.357     85.000     -1.334    115.000      0.463
    33.000    101.983     25.000     -7.449     55.000     -4.406     85.000     -1.404    115.000      0.440
    34.000    103.018     25.000     -7.470     55.000     -4.450     85.000     -1.468    115.000      0.412
    35.000    104.653     25.000     -7.507     55.000     -4.576     85.000     -1.789    115.000      0.379
    36.000    106.666     25.000     -7.572     55.000     -4.703     85.000     -1.918    115.000      0.340
    37.000    108.511     25.000     -7.615     55.000     -4.782     85.000     -2.006    115.000      0.297
    38.000    109.952     25.000     -7.644     55.000     -4.839     85.000     -2.078    115.000      0.250
    39.000    111.160     25.000     -7.667     55.000     -4.886     85.000     -2.141    115.000      0.201
    40.000    112.224     25.000     -7.686     55.000     -4.926     85.000     -2.198    115.000      0.152
    41.000    113.196     25.000     -7.703     55.000     -4.962     85.000     -2.250    115.000      0.102
    42.000    114.507     25.000     -7.720     55.000     -5.008     85.000     -2.394    115.000      0.040
    43.000    116.285     25.000     -7.763     55.000     -5.119     85.000     -2.557    115.000     -0.048
    44.000    118.119     25.000     -7.804     55.000     -5.197     85.000     -2.647    115.000     -0.131
    45.000    119.554     25.000     -7.833     55.000     -5.253     85.000     -2.716    115.000     -0.208
    46.000    120.756     25.000     -7.855     55.000     -5.297     85.000     -2.774    115.000     -0.278
    47.000    121.814     25.000     -7.873     55.000     -5.334     85.000     -2.824    115.000     -0.344
    48.000    122.777     25.000     -7.888     55.000     -5.366     85.000     -2.870    115.000     -0.405
    49.000    123.671     25.000     -7.902     55.000     -5.395     85.000     -2.912    115.000     -0.462
    50.000    124.739     25.000     -7.914     55.000     -5.424     85.000     -2.983    115.000     -0.719
    51.000    126.609     25.000     -7.941     55.000     -5.500     85.000     -3.127    115.000     -0.839
    52.000    128.280     25.000     -7.974     55.000     -5.567     85.000     -3.210    115.000     -0.914
    53.000    129.620     25.000     -7.999     55.000     -5.617     85.000     -3.272    115.000     -0.977
    54.000    130.763     25.000     -8.019     55.000     -5.656     85.000     -3.324    115.000     -1.034
    55.000    131.779     25.000     -8.035     55.000     -5.688     85.000     -3.369    115.000     -1.086
    56.000    132.708     25.000     -8.048     55.000     -5.717     85.000     -3.409    115.000     -1.135
    57.000    133.571     25.000     -8.060     55.000     -5.742     85.000     -3.446    115.000     -1.180
    58.000    134.385     25.000     -8.071     55.000     -5.766     85.000     -3.480    115.000     -1.223
    59.000    135.601     25.000     -8.082     55.000     -5.791     85.000     -3.539    115.000     -1.397
    60.000    137.428     25.000     -8.102     55.000     -5.846     85.000     -3.641    115.000     -1.504
