        hour           Ta           Ts           Rn            H           LE            G        ustar          gac         gcan
       0.500       20.381       19.838      -81.492      -58.485       64.330      -87.337        0.616      239.588       25.000
       1.000       20.170       19.577      -81.479      -60.586       62.640      -83.533        0.606      234.068       25.000
       1.500       20.043       19.380      -81.252      -63.492       60.992      -78.751        0.595      227.380       25.000
       2.000       20.000       19.247      -80.805      -67.072       59.366      -73.100        0.581      219.527       25.000
       2.500       20.043       19.179      -80.133      -71.154       57.736      -66.716        0.566      210.512       25.000
       3.000       20.170       19.173      -79.228      -75.524       56.059      -59.763        0.548      200.328       25.000
       3.500       20.381       19.225      -78.079      -79.923       54.279      -52.434        0.528      188.953       25.000
       4.000       20.670       19.331      -76.674      -84.036       52.320      -44.958        0.506      176.337       25.000
       4.500       21.033       19.482      -74.996      -87.472       50.082      -37.605        0.481      162.382       25.000
       5.000       21.464       19.813      -52.546      -83.423       52.892      -22.015        0.452      146.910       27.102
       5.500       21.956       20.320      -22.776      -77.953       58.707       -3.530        0.436      138.332       29.813
       6.000       22.500       21.025       16.181      -70.598       67.980       18.798        0.433      136.740       32.572
       6.500       23.087       21.943       66.712      -60.364       82.554       44.521        0.448      143.854       35.323
       7.000       23.706       23.012      125.981      -46.270      103.092       69.160        0.480      160.340       38.001
       7.500       24.347       24.134      190.322      -27.034      128.322       89.034        0.521      182.505       40.530
       8.000       25.000       25.238      256.366       -3.342      156.171      103.537        0.563      205.571       42.849
       8.500       25.653       26.287      321.159       22.558      184.913      113.689        0.601      226.701       44.918
       9.000       26.294       27.264      382.182       48.381      213.327      120.474        0.633      245.037       46.712
       9.500       26.913       28.158      437.330       72.443      240.459      124.428        0.657      260.902       48.223
      10.000       27.500       28.964      484.858       93.425      265.373      126.059        0.673      273.338       49.450
      10.500       28.044       29.675      523.372      110.566      287.336      125.470        0.685      282.930       50.397
      11.000       28.536       30.284      551.811      123.464      305.647      122.700        0.695      290.422       51.068
      11.500       28.967       30.784      569.414      131.901      319.665      117.848        0.702      296.204       51.469
      12.000       29.330       31.170      575.718      135.810      328.876      111.031        0.707      300.527       51.602
      12.500       29.619       31.437      570.549      135.248      332.924      102.377        0.711      303.564       51.469
      13.000       29.830       31.584      554.029      130.358      331.643       92.028        0.713      305.426       51.068
      13.500       29.957       31.607      526.573      121.366      325.066       80.141        0.714      306.183       50.397
      14.000       30.000       31.508      488.895      108.567      313.437       66.892        0.714      305.875       49.450
      14.500       29.957       31.288      442.013       92.329      297.206       52.477        0.713      304.510       48.223
      15.000       29.830       30.952      387.267       73.114      277.028       37.124        0.710      302.075       46.712
      15.500       29.619       30.503      326.339       51.501      253.742       21.096        0.705      298.541       44.918
      16.000       29.330       29.953      261.298       28.231      228.351        4.715        0.699      293.871       42.849
      16.500       28.967       29.311      194.655        4.270      201.997      -11.612        0.692      288.035       40.530
      17.000       28.536       28.597      129.454      -19.113      175.911      -27.345        0.683      281.050       38.001
      17.500       28.044       27.833       69.319      -40.278      151.352      -41.755        0.673      273.055       35.323
      18.000       27.500       27.053       18.248      -57.285      129.457      -53.924        0.662      264.452       32.572
      18.500       26.913       26.291      -20.797      -68.574      110.934      -63.156        0.651      256.131       29.813
      19.000       26.294       25.557      -50.319      -75.250       95.447      -70.516        0.641      249.773       27.102
      19.500       25.653       24.844      -72.256      -79.122       83.875      -77.010        0.633      245.638       25.000
      20.000       25.000       24.222      -73.497      -76.085       81.137      -78.549        0.628      242.922       25.000
      20.500       24.347       23.627      -74.867      -72.399       79.064      -81.532        0.629      244.530       25.000
      21.000       23.706       23.049      -76.211      -68.542       77.167      -84.836        0.632      246.804       25.000
      21.500       23.087       22.487      -77.459      -64.905       75.300      -87.854        0.635      248.718       25.000
      22.000       22.500       21.947      -78.572      -61.767       73.429      -90.235        0.636      249.860       25.000
      22.500       21.956       21.437      -79.527      -59.324       71.556      -91.758        0.635      250.034       25.000
      23.000       21.464       20.965      -80.306      -57.714       69.694      -92.287        0.633      249.137       25.000
      23.500       21.033       20.537      -80.899      -57.020       67.861      -91.740        0.629      247.114       25.000
      24.000       20.670       20.159      -81.297      -57.279       66.070      -90.088        0.623      243.936       25.000
