       theta            z
       0.267       -0.500
       0.267       -1.500
       0.267       -2.500
       0.267       -3.500
       0.267       -4.500
       0.267       -5.500
       0.267       -6.500
       0.267       -7.500
       0.267       -8.500
       0.267       -9.500
       0.267      -10.500
       0.267      -11.500
       0.267      -12.500
       0.267      -13.500
       0.267      -14.500
       0.267      -15.500
       0.267      -16.500
       0.267      -17.500
       0.267      -18.500
       0.267      -19.500
       0.267      -20.500
       0.267      -21.500
       0.267      -22.500
       0.267      -23.500
       0.267      -24.500
       0.267      -25.500
       0.267      -26.500
       0.267      -27.500
       0.267      -28.500
       0.267      -29.500
       0.267      -30.500
       0.267      -31.500
       0.267      -32.500
       0.267      -33.500
       0.267      -34.500
       0.267      -35.500
       0.267      -36.500
       0.267      -37.500
       0.266      -38.500
       0.266      -39.500
       0.266      -40.500
       0.266      -41.500
       0.266      -42.500
       0.266      -43.500
       0.266      -44.500
       0.266      -45.500
       0.266      -46.500
       0.265      -47.500
       0.265      -48.500
       0.265      -49.500
       0.265      -50.500
       0.264      -51.500
       0.264      -52.500
       0.264      -53.500
       0.263      -54.500
       0.262      -55.500
       0.262      -56.500
       0.261      -57.500
       0.260      -58.500
       0.259      -59.500
       0.258      -60.500
       0.256      -61.500
       0.254      -62.500
       0.252      -63.500
       0.249      -64.500
       0.245      -65.500
       0.240      -66.500
       0.234      -67.500
       0.225      -68.500
       0.214      -69.500
       0.199      -70.500
       0.180      -71.500
       0.159      -72.500
       0.138      -73.500
       0.122      -74.500
       0.112      -75.500
       0.106      -76.500
       0.103      -77.500
       0.101      -78.500
       0.101      -79.500
       0.100      -80.500
       0.100      -81.500
       0.100      -82.500
       0.100      -83.500
       0.100      -84.500
       0.100      -85.500
       0.100      -86.500
       0.100      -87.500
       0.100      -88.500
       0.100      -89.500
       0.100      -90.500
       0.100      -91.500
       0.100      -92.500
       0.100      -93.500
       0.100      -94.500
       0.100      -95.500
       0.100      -96.500
       0.100      -97.500
       0.100      -98.500
       0.100      -99.500
       0.100     -100.500
       0.100     -101.500
       0.100     -102.500
       0.100     -103.500
       0.100     -104.500
       0.100     -105.500
       0.100     -106.500
       0.100     -107.500
       0.100     -108.500
       0.100     -109.500
       0.100     -110.500
       0.100     -111.500
       0.100     -112.500
       0.100     -113.500
       0.100     -114.500
       0.100     -115.500
       0.100     -116.500
       0.100     -117.500
       0.100     -118.500
       0.100     -119.500
       0.100     -120.500
       0.100     -121.500
       0.100     -122.500
       0.100     -123.500
       0.100     -124.500
       0.100     -125.500
       0.100     -126.500
       0.100     -127.500
       0.100     -128.500
       0.100     -129.500
       0.100     -130.500
       0.100     -131.500
       0.100     -132.500
       0.100     -133.500
       0.100     -134.500
       0.100     -135.500
       0.100     -136.500
       0.100     -137.500
       0.100     -138.500
       0.100     -139.500
       0.100     -140.500
       0.100     -141.500
       0.100     -142.500
       0.100     -143.500
       0.100     -144.500
       0.100     -145.500
       0.100     -146.500
       0.100     -147.500
       0.100     -148.500
       0.100     -149.500
