        hour        infil
     0.00139      0.01887
     0.00278      0.04967
     0.00417      0.09851
     0.00556      0.17282
     0.00694      0.26645
     0.00833      0.34721
     0.00972      0.41391
     0.01111      0.47182
     0.01250      0.52482
     0.01389      0.57319
     0.01528      0.61900
     0.01667      0.66199
     0.01806      0.70325
     0.01944      0.74262
     0.02083      0.78072
     0.02222      0.81744
     0.02361      0.85318
     0.02500      0.88787
     0.02639      0.92177
     0.02778      0.95484
     0.02917      0.98724
     0.03056      1.01898
     0.03194      1.05015
     0.03333      1.08077
     0.03472      1.11090
     0.03611      1.14057
     0.03750      1.16981
     0.03889      1.19864
     0.04028      1.22711
     0.04167      1.25522
     0.04306      1.28301
     0.04444      1.31048
     0.04583      1.33766
     0.04722      1.36457
     0.04861      1.39121
     0.05000      1.41761
     0.05139      1.44376
     0.05278      1.46970
     0.05417      1.49542
     0.05556      1.52093
     0.05694      1.54625
     0.05833      1.57139
     0.05972      1.59634
     0.06111      1.62113
     0.06250      1.64575
     0.06389      1.67022
     0.06528      1.69453
     0.06667      1.71870
     0.06806      1.74273
     0.06944      1.76662
     0.07083      1.79038
     0.07222      1.81402
     0.07361      1.83754
     0.07500      1.86095
     0.07639      1.88424
     0.07778      1.90742
     0.07917      1.93050
     0.08056      1.95347
     0.08194      1.97635
     0.08333      1.99913
     0.08472      2.02182
     0.08611      2.04442
     0.08750      2.06693
     0.08889      2.08936
     0.09028      2.11171
     0.09167      2.13398
     0.09306      2.15617
     0.09444      2.17829
     0.09583      2.20033
     0.09722      2.22231
     0.09861      2.24421
     0.10000      2.26605
     0.10139      2.28782
     0.10278      2.30953
     0.10417      2.33118
     0.10556      2.35277
     0.10694      2.37430
     0.10833      2.39577
     0.10972      2.41719
     0.11111      2.43855
     0.11250      2.45986
     0.11389      2.48112
     0.11528      2.50232
     0.11667      2.52348
     0.11806      2.54459
     0.11944      2.56565
     0.12083      2.58667
     0.12222      2.60764
     0.12361      2.62857
     0.12500      2.64946
     0.12639      2.67030
     0.12778      2.69111
     0.12917      2.71187
     0.13056      2.73260
     0.13194      2.75328
     0.13333      2.77393
     0.13472      2.79454
     0.13611      2.81512
     0.13750      2.83566
     0.13889      2.85617
     0.14028      2.87665
     0.14167      2.89709
     0.14306      2.91750
     0.14444      2.93788
     0.14583      2.95822
     0.14722      2.97854
     0.14861      2.99883
     0.15000      3.01909
     0.15139      3.03932
     0.15278      3.05952
     0.15417      3.07969
     0.15556      3.09984
     0.15694      3.11997
     0.15833      3.14006
     0.15972      3.16013
     0.16111      3.18018
     0.16250      3.20020
     0.16389      3.22020
     0.16528      3.24018
     0.16667      3.26013
     0.16806      3.28006
     0.16944      3.29996
     0.17083      3.31985
     0.17222      3.33972
     0.17361      3.35956
     0.17500      3.37938
     0.17639      3.39919
     0.17778      3.41897
     0.17917      3.43873
     0.18056      3.45848
     0.18194      3.47821
     0.18333      3.49792
     0.18472      3.51761
     0.18611      3.53728
     0.18750      3.55693
     0.18889      3.57657
     0.19028      3.59619
     0.19167      3.61580
     0.19306      3.63539
     0.19444      3.65496
     0.19583      3.67452
     0.19722      3.69406
     0.19861      3.71358
     0.20000      3.73310
