        time            i            I
    0.001667     1.992145        0.396
    0.003333     1.415467        0.562
    0.005000     1.159993        0.689
    0.006667     1.007706        0.797
    0.008333     0.903781        0.892
    0.010000     0.827071        0.979
    0.011667     0.767452        1.058
    0.013333     0.719396        1.132
    0.015000     0.679591        1.202
    0.016667     0.645919        1.269
    0.018333     0.616951        1.332
    0.020000     0.591683        1.392
    0.021667     0.569391        1.450
    0.023333     0.549533        1.506
    0.025000     0.531696        1.560
    0.026667     0.515559        1.612
    0.028333     0.500868        1.663
    0.030000     0.487419        1.713
    0.031667     0.475046        1.761
    0.033333     0.463614        1.808
    0.035000     0.453009        1.853
    0.036667     0.443136        1.898
    0.038333     0.433914        1.942
    0.040000     0.425274        1.985
    0.041667     0.417159        2.027
    0.043333     0.409516        2.069
    0.045000     0.402303        2.109
    0.046667     0.395479        2.149
    0.048333     0.389012        2.188
    0.050000     0.382871        2.227
    0.051667     0.377030        2.265
    0.053333     0.371465        2.302
    0.055000     0.366155        2.339
    0.056667     0.361081        2.375
    0.058333     0.356226        2.411
    0.060000     0.351575        2.447
    0.061667     0.347114        2.482
    0.063333     0.342831        2.516
    0.065000     0.338713        2.550
    0.066667     0.334751        2.584
    0.068333     0.330935        2.617
    0.070000     0.327255        2.650
    0.071667     0.323706        2.683
    0.073333     0.320278        2.715
    0.075000     0.316965        2.747
    0.076667     0.313760        2.778
    0.078333     0.310659        2.809
    0.080000     0.307655        2.840
    0.081667     0.304743        2.871
    0.083333     0.301920        2.901
    0.085000     0.299180        2.931
    0.086667     0.296519        2.961
    0.088333     0.293934        2.991
    0.090000     0.291422        3.020
    0.091667     0.288978        3.049
    0.093333     0.286600        3.078
    0.095000     0.284285        3.106
    0.096667     0.282030        3.135
    0.098333     0.279833        3.163
    0.100000     0.277691        3.191
    0.101667     0.275602        3.218
    0.103333     0.273564        3.246
    0.105000     0.271574        3.273
    0.106667     0.269631        3.300
    0.108333     0.267734        3.327
    0.110000     0.265880        3.354
    0.111667     0.264067        3.380
    0.113333     0.262295        3.406
    0.115000     0.260561        3.433
    0.116667     0.258865        3.458
    0.118333     0.257204        3.484
    0.120000     0.255579        3.510
    0.121667     0.253987        3.535
    0.123333     0.252427        3.561
    0.125000     0.250899        3.586
    0.126667     0.249401        3.611
    0.128333     0.247932        3.636
    0.130000     0.246492        3.660
    0.131667     0.245079        3.685
    0.133333     0.243693        3.709
    0.135000     0.242333        3.734
    0.136667     0.240997        3.758
    0.138333     0.239686        3.782
    0.140000     0.238398        3.806
    0.141667     0.237133        3.830
    0.143333     0.235891        3.853
    0.145000     0.234670        3.877
    0.146667     0.233469        3.900
    0.148333     0.232289        3.924
    0.150000     0.231129        3.947
    0.151667     0.229988        3.970
    0.153333     0.228866        3.993
    0.155000     0.227761        4.016
    0.156667     0.226675        4.038
    0.158333     0.225606        4.061
    0.160000     0.224553        4.083
    0.161667     0.223517        4.106
    0.163333     0.222497        4.128
    0.165000     0.221492        4.150
    0.166667     0.220503        4.172
    0.168333     0.219528        4.194
    0.170000     0.218568        4.216
    0.171667     0.217621        4.238
    0.173333     0.216689        4.260
    0.175000     0.215769        4.281
    0.176667     0.214863        4.303
    0.178333     0.213970        4.324
    0.180000     0.213089        4.346
    0.181667     0.212220        4.367
    0.183333     0.211363        4.388
    0.185000     0.210518        4.409
    0.186667     0.209684        4.430
    0.188333     0.208861        4.451
    0.190000     0.208049        4.472
    0.191667     0.207248        4.493
    0.193333     0.206457        4.514
    0.195000     0.205676        4.534
    0.196667     0.204905        4.555
    0.198333     0.204144        4.575
    0.200000     0.203393        4.596
    0.201667     0.202651        4.616
    0.203333     0.201918        4.636
    0.205000     0.201194        4.656
    0.206667     0.200478        4.676
    0.208333     0.199772        4.696
    0.210000     0.199074        4.716
    0.211667     0.198384        4.736
    0.213333     0.197702        4.756
    0.215000     0.197028        4.776
    0.216667     0.196362        4.795
    0.218333     0.195704        4.815
    0.220000     0.195053        4.834
    0.221667     0.194410        4.854
    0.223333     0.193774        4.873
    0.225000     0.193144        4.893
    0.226667     0.192522        4.912
    0.228333     0.191907        4.931
    0.230000     0.191298        4.950
    0.231667     0.190696        4.969
    0.233333     0.190101        4.988
    0.235000     0.189512        5.007
    0.236667     0.188929        5.026
    0.238333     0.188352        5.045
    0.240000     0.187781        5.064
    0.241667     0.187216        5.083
    0.243333     0.186657        5.102
    0.245000     0.186104        5.120
    0.246667     0.185557        5.139
    0.248333     0.185014        5.157
    0.250000     0.184478        5.176
    0.251667     0.183946        5.194
    0.253333     0.183420        5.213
    0.255000     0.182900        5.231
    0.256667     0.182384        5.249
    0.258333     0.181873        5.267
    0.260000     0.181367        5.285
    0.261667     0.180866        5.304
    0.263333     0.180370        5.322
    0.265000     0.179878        5.340
    0.266667     0.179392        5.358
    0.268333     0.178909        5.376
    0.270000     0.178431        5.393
    0.271667     0.177958        5.411
    0.273333     0.177489        5.429
    0.275000     0.177024        5.447
    0.276667     0.176564        5.464
    0.278333     0.176107        5.482
    0.280000     0.175655        5.500
    0.281667     0.175207        5.517
    0.283333     0.174762        5.535
    0.285000     0.174322        5.552
    0.286667     0.173885        5.570
    0.288333     0.173452        5.587
    0.290000     0.173023        5.604
    0.291667     0.172598        5.622
    0.293333     0.172176        5.639
    0.295000     0.171758        5.656
    0.296667     0.171344        5.673
    0.298333     0.170933        5.690
    0.300000     0.170525        5.707
    0.301667     0.170121        5.724
    0.303333     0.169720        5.741
    0.305000     0.169322        5.758
    0.306667     0.168928        5.775
    0.308333     0.168537        5.792
    0.310000     0.168149        5.809
    0.311667     0.167764        5.826
    0.313333     0.167382        5.842
    0.315000     0.167004        5.859
    0.316667     0.166628        5.876
    0.318333     0.166255        5.892
    0.320000     0.165885        5.909
    0.321667     0.165518        5.926
    0.323333     0.165154        5.942
    0.325000     0.164793        5.959
    0.326667     0.164435        5.975
    0.328333     0.164079        5.992
    0.330000     0.163726        6.008
    0.331667     0.163375        6.024
    0.333333     0.163028        6.041
    0.335000     0.162683        6.057
    0.336667     0.162340        6.073
    0.338333     0.162000        6.089
    0.340000     0.161662        6.106
    0.341667     0.161327        6.122
    0.343333     0.160995        6.138
    0.345000     0.160665        6.154
    0.346667     0.160337        6.170
    0.348333     0.160012        6.186
    0.350000     0.159688        6.202
    0.351667     0.159368        6.218
    0.353333     0.159049        6.234
    0.355000     0.158733        6.250
    0.356667     0.158419        6.266
    0.358333     0.158107        6.281
    0.360000     0.157798        6.297
    0.361667     0.157490        6.313
    0.363333     0.157185        6.329
    0.365000     0.156882        6.344
    0.366667     0.156580        6.360
    0.368333     0.156281        6.376
    0.370000     0.155984        6.391
    0.371667     0.155689        6.407
    0.373333     0.155396        6.422
    0.375000     0.155105        6.438
    0.376667     0.154816        6.454
    0.378333     0.154528        6.469
    0.380000     0.154243        6.484
    0.381667     0.153960        6.500
    0.383333     0.153678        6.515
    0.385000     0.153398        6.531
    0.386667     0.153120        6.546
    0.388333     0.152844        6.561
    0.390000     0.152569        6.576
    0.391667     0.152297        6.592
    0.393333     0.152026        6.607
    0.395000     0.151757        6.622
    0.396667     0.151489        6.637
    0.398333     0.151223        6.652
    0.400000     0.150959        6.668
    0.401667     0.150697        6.683
    0.403333     0.150436        6.698
    0.405000     0.150177        6.713
    0.406667     0.149919        6.728
    0.408333     0.149663        6.743
    0.410000     0.149409        6.758
    0.411667     0.149156        6.773
    0.413333     0.148904        6.787
    0.415000     0.148655        6.802
    0.416667     0.148406        6.817
    0.418333     0.148159        6.832
    0.420000     0.147914        6.847
    0.421667     0.147670        6.862
    0.423333     0.147428        6.876
    0.425000     0.147186        6.891
    0.426667     0.146947        6.906
    0.428333     0.146709        6.920
    0.430000     0.146472        6.935
    0.431667     0.146236        6.950
    0.433333     0.146002        6.964
    0.435000     0.145770        6.979
    0.436667     0.145538        6.994
    0.438333     0.145308        7.008
    0.440000     0.145079        7.023
    0.441667     0.144852        7.037
    0.443333     0.144626        7.052
    0.445000     0.144401        7.066
    0.446667     0.144177        7.080
    0.448333     0.143955        7.095
    0.450000     0.143734        7.109
    0.451667     0.143514        7.124
    0.453333     0.143295        7.138
    0.455000     0.143078        7.152
    0.456667     0.142861        7.167
    0.458333     0.142646        7.181
    0.460000     0.142432        7.195
    0.461667     0.142220        7.209
    0.463333     0.142008        7.224
    0.465000     0.141798        7.238
    0.466667     0.141588        7.252
    0.468333     0.141380        7.266
    0.470000     0.141173        7.280
    0.471667     0.140967        7.294
    0.473333     0.140762        7.308
    0.475000     0.140558        7.322
    0.476667     0.140356        7.336
    0.478333     0.140154        7.350
    0.480000     0.139953        7.364
    0.481667     0.139754        7.378
    0.483333     0.139555        7.392
    0.485000     0.139358        7.406
    0.486667     0.139161        7.420
    0.488333     0.138966        7.434
    0.490000     0.138771        7.448
    0.491667     0.138578        7.462
    0.493333     0.138385        7.476
    0.495000     0.138194        7.490
    0.496667     0.138003        7.503
    0.498333     0.137814        7.517
    0.500000     0.137625        7.531
    0.501667     0.137437        7.545
    0.503333     0.137251        7.559
    0.505000     0.137065        7.572
    0.506667     0.136880        7.586
    0.508333     0.136696        7.600
    0.510000     0.136513        7.613
    0.511667     0.136331        7.627
    0.513333     0.136149        7.641
    0.515000     0.135969        7.654
    0.516667     0.135790        7.668
    0.518333     0.135611        7.681
    0.520000     0.135433        7.695
    0.521667     0.135256        7.708
    0.523333     0.135080        7.722
    0.525000     0.134905        7.735
    0.526667     0.134730        7.749
    0.528333     0.134557        7.762
    0.530000     0.134384        7.776
    0.531667     0.134212        7.789
    0.533333     0.134041        7.803
    0.535000     0.133871        7.816
    0.536667     0.133701        7.829
    0.538333     0.133533        7.843
    0.540000     0.133365        7.856
    0.541667     0.133197        7.869
    0.543333     0.133031        7.883
    0.545000     0.132865        7.896
    0.546667     0.132701        7.909
    0.548333     0.132537        7.923
    0.550000     0.132373        7.936
