      wind         Re        gbh
       0.1     341.27     0.2868
       0.2     682.53     0.4056
       0.3    1023.80     0.4968
       0.4    1365.07     0.5736
       0.5    1706.34     0.6413
       0.6    2047.60     0.7025
       0.7    2388.87     0.7588
       0.8    2730.14     0.8112
       0.9    3071.41     0.8604
       1.0    3412.67     0.9070
       1.1    3753.94     0.9513
       1.2    4095.21     0.9936
       1.3    4436.48     1.0341
       1.4    4777.74     1.0732
       1.5    5119.01     1.1108
       1.6    5460.28     1.1473
       1.7    5801.55     1.1826
       1.8    6142.81     1.2168
       1.9    6484.08     1.2502
       2.0    6825.35     1.2827
       2.1    7166.62     1.3143
       2.2    7507.88     1.3453
       2.3    7849.15     1.3755
       2.4    8190.42     1.4051
       2.5    8531.69     1.4341
       2.6    8872.95     1.4625
       2.7    9214.22     1.4903
       2.8    9555.49     1.5177
       2.9    9896.76     1.5445
       3.0   10238.02     1.5709
       3.1   10579.29     1.5969
       3.2   10920.56     1.6225
       3.3   11261.83     1.6476
       3.4   11603.09     1.6724
       3.5   11944.36     1.6968
       3.6   12285.63     1.7209
       3.7   12626.89     1.7446
       3.8   12968.16     1.7680
       3.9   13309.43     1.7912
       4.0   13650.70     1.8140
       4.1   13991.96     1.8365
       4.2   14333.23     1.8588
       4.3   14674.50     1.8808
       4.4   15015.77     1.9025
       4.5   15357.03     1.9240
       4.6   15698.30     1.9453
       4.7   16039.57     1.9663
       4.8   16380.84     1.9871
       4.9   16722.10     2.0077
       5.0   17063.37     2.0281
       5.1   17404.64     2.0483
       5.2   17745.91     2.0682
       5.3   18087.17     2.0880
       5.4   18428.44     2.1076
       5.5   18769.71     2.1271
       5.6   19110.98     2.1463
       5.7   19452.24     2.1654
       5.8   19793.51     2.1843
       5.9   20134.78     2.2031
       6.0   20476.05     2.2216
       6.1   20817.31     2.2401
       6.2   21158.58     2.2584
       6.3   21499.85     2.2765
       6.4   21841.12     2.2945
       6.5   22182.38     2.3124
       6.6   22523.65     2.3301
       6.7   22864.92     2.3477
       6.8   23206.18     2.3651
       6.9   23547.45     2.3825
       7.0   23888.72     2.3997
       7.1   24229.99     2.4167
       7.2   24571.25     2.4337
       7.3   24912.52     2.4505
       7.4   25253.79     2.4673
       7.5   25595.06     2.4839
       7.6   25936.32     2.5004
       7.7   26277.59     2.5168
       7.8   26618.86     2.5331
       7.9   26960.13     2.5493
       8.0   27301.39     2.5653
       8.1   27642.66     2.5813
       8.2   27983.93     2.5972
       8.3   28325.20     2.6130
       8.4   28666.46     2.6287
       8.5   29007.73     2.6443
       8.6   29349.00     2.6598
       8.7   29690.27     2.6752
       8.8   30031.53     2.6906
       8.9   30372.80     2.7058
       9.0   30714.07     2.7210
       9.1   31055.34     2.7360
       9.2   31396.60     2.7510
       9.3   31737.87     2.7659
       9.4   32079.14     2.7808
       9.5   32420.41     2.7955
       9.6   32761.67     2.8102
       9.7   33102.94     2.8248
       9.8   33444.21     2.8393
       9.9   33785.48     2.8538
      10.0   34126.74     2.8681
