      wind         Re        gbh
       0.1     341.27     0.0900
       0.2     682.53     0.1567
       0.3    1023.80     0.2168
       0.4    1365.07     0.2729
       0.5    1706.34     0.3262
       0.6    2047.60     0.3774
       0.7    2388.87     0.4269
       0.8    2730.14     0.4751
       0.9    3071.41     0.5220
       1.0    3412.67     0.5679
       1.1    3753.94     0.6129
       1.2    4095.21     0.6571
       1.3    4436.48     0.7006
       1.4    4777.74     0.7433
       1.5    5119.01     0.7855
       1.6    5460.28     0.8271
       1.7    5801.55     0.8683
       1.8    6142.81     0.9089
       1.9    6484.08     0.9491
       2.0    6825.35     0.9888
       2.1    7166.62     1.0282
       2.2    7507.88     1.0671
       2.3    7849.15     1.1058
       2.4    8190.42     1.1441
       2.5    8531.69     1.1821
       2.6    8872.95     1.2197
       2.7    9214.22     1.2571
       2.8    9555.49     1.2942
       2.9    9896.76     1.3311
       3.0   10238.02     1.3677
       3.1   10579.29     1.4040
       3.2   10920.56     1.4401
       3.3   11261.83     1.4760
       3.4   11603.09     1.5117
       3.5   11944.36     1.5472
       3.6   12285.63     1.5824
       3.7   12626.89     1.6175
       3.8   12968.16     1.6524
       3.9   13309.43     1.6871
       4.0   13650.70     1.7216
       4.1   13991.96     1.7560
       4.2   14333.23     1.7901
       4.3   14674.50     1.8242
       4.4   15015.77     1.8580
       4.5   15357.03     1.8917
       4.6   15698.30     1.9253
       4.7   16039.57     1.9587
       4.8   16380.84     1.9920
       4.9   16722.10     2.0251
       5.0   17063.37     2.0581
       5.1   17404.64     2.0909
       5.2   17745.91     2.1237
       5.3   18087.17     2.1563
       5.4   18428.44     2.1888
       5.5   18769.71     2.2211
       5.6   19110.98     2.2534
       5.7   19452.24     2.2855
       5.8   19793.51     2.3176
       5.9   20134.78     2.3495
       6.0   20476.05     2.3813
       6.1   20817.31     2.4130
       6.2   21158.58     2.4446
       6.3   21499.85     2.4761
       6.4   21841.12     2.5074
       6.5   22182.38     2.5387
       6.6   22523.65     2.5699
       6.7   22864.92     2.6010
       6.8   23206.18     2.6321
       6.9   23547.45     2.6630
       7.0   23888.72     2.6938
       7.1   24229.99     2.7245
       7.2   24571.25     2.7552
       7.3   24912.52     2.7858
       7.4   25253.79     2.8163
       7.5   25595.06     2.8467
       7.6   25936.32     2.8770
       7.7   26277.59     2.9072
       7.8   26618.86     2.9374
       7.9   26960.13     2.9675
       8.0   27301.39     2.9975
       8.1   27642.66     3.0274
       8.2   27983.93     3.0573
       8.3   28325.20     3.0871
       8.4   28666.46     3.1168
       8.5   29007.73     3.1465
       8.6   29349.00     3.1760
       8.7   29690.27     3.2055
       8.8   30031.53     3.2350
       8.9   30372.80     3.2644
       9.0   30714.07     3.2937
       9.1   31055.34     3.3229
       9.2   31396.60     3.3521
       9.3   31737.87     3.3812
       9.4   32079.14     3.4103
       9.5   32420.41     3.4393
       9.6   32761.67     3.4682
       9.7   33102.94     3.4971
       9.8   33444.21     3.5259
       9.9   33785.48     3.5546
      10.0   34126.74     3.5833
