     Tl-Ta        gbh
       0.1     0.0581
       0.2     0.0691
       0.3     0.0765
       0.4     0.0822
       0.5     0.0869
       0.6     0.0910
       0.7     0.0945
       0.8     0.0977
       0.9     0.1007
       1.0     0.1033
       1.1     0.1058
       1.2     0.1082
       1.3     0.1103
       1.4     0.1124
       1.5     0.1144
       1.6     0.1162
       1.7     0.1180
       1.8     0.1197
       1.9     0.1213
       2.0     0.1229
       2.1     0.1244
       2.2     0.1259
       2.3     0.1273
       2.4     0.1286
       2.5     0.1299
       2.6     0.1312
       2.7     0.1325
       2.8     0.1337
       2.9     0.1349
       3.0     0.1360
       3.1     0.1371
       3.2     0.1382
       3.3     0.1393
       3.4     0.1403
       3.5     0.1414
       3.6     0.1423
       3.7     0.1433
       3.8     0.1443
       3.9     0.1452
       4.0     0.1461
       4.1     0.1471
       4.2     0.1479
       4.3     0.1488
       4.4     0.1497
       4.5     0.1505
       4.6     0.1513
       4.7     0.1522
       4.8     0.1530
       4.9     0.1538
       5.0     0.1545
       5.1     0.1553
       5.2     0.1561
       5.3     0.1568
       5.4     0.1575
       5.5     0.1583
       5.6     0.1590
       5.7     0.1597
       5.8     0.1604
       5.9     0.1611
       6.0     0.1617
       6.1     0.1624
       6.2     0.1631
       6.3     0.1637
       6.4     0.1644
       6.5     0.1650
       6.6     0.1656
       6.7     0.1663
       6.8     0.1669
       6.9     0.1675
       7.0     0.1681
       7.1     0.1687
       7.2     0.1693
       7.3     0.1699
       7.4     0.1704
       7.5     0.1710
       7.6     0.1716
       7.7     0.1721
       7.8     0.1727
       7.9     0.1733
       8.0     0.1738
       8.1     0.1743
       8.2     0.1749
       8.3     0.1754
       8.4     0.1759
       8.5     0.1765
       8.6     0.1770
       8.7     0.1775
       8.8     0.1780
       8.9     0.1785
       9.0     0.1790
       9.1     0.1795
       9.2     0.1800
       9.3     0.1805
       9.4     0.1810
       9.5     0.1814
       9.6     0.1819
       9.7     0.1824
       9.8     0.1828
       9.9     0.1833
      10.0     0.1838
