       layer          lai          sun          sha          sun          sha
           1       0.0500     0.571710     0.179057     0.264662     0.126079
           2       0.1500     0.559613     0.166960     0.264655     0.126072
           3       0.2500     0.548363     0.155710     0.264276     0.125692
           4       0.3500     0.537898     0.145246     0.263565     0.124982
           5       0.4500     0.528163     0.135510     0.262560     0.123977
           6       0.5500     0.519105     0.126452     0.261294     0.122711
           7       0.6500     0.510674     0.118021     0.259800     0.121216
           8       0.7500     0.502826     0.110173     0.258104     0.119520
           9       0.8500     0.495519     0.102866     0.256233     0.117650
          10       0.9500     0.488715     0.096062     0.254212     0.115628
          11       1.0500     0.482378     0.089725     0.252061     0.113477
          12       1.1500     0.476474     0.083821     0.249800     0.111217
          13       1.2500     0.470973     0.078321     0.247449     0.108865
          14       1.3500     0.465847     0.073195     0.245022     0.106439
          15       1.4500     0.461069     0.068417     0.242535     0.103952
          16       1.5500     0.456615     0.063962     0.240002     0.101418
          17       1.6500     0.452462     0.059809     0.237434     0.098850
          18       1.7500     0.448589     0.055936     0.234842     0.096259
          19       1.8500     0.444976     0.052324     0.232237     0.093654
          20       1.9500     0.441606     0.048953     0.229628     0.091044
          21       2.0500     0.438462     0.045809     0.227021     0.088438
          22       2.1500     0.435527     0.042874     0.224425     0.085841
          23       2.2500     0.432788     0.040135     0.221845     0.083262
          24       2.3500     0.430232     0.037579     0.219287     0.080704
          25       2.4500     0.427845     0.035192     0.216756     0.078173
          26       2.5500     0.425616     0.032963     0.214257     0.075674
          27       2.6500     0.423535     0.030882     0.211793     0.073209
          28       2.7500     0.421591     0.028938     0.209366     0.070783
          29       2.8500     0.419775     0.027122     0.206981     0.068397
          30       2.9500     0.418079     0.025426     0.204639     0.066055
          31       3.0500     0.416495     0.023842     0.202341     0.063758
          32       3.1500     0.415015     0.022362     0.200091     0.061508
          33       3.2500     0.413632     0.020979     0.197888     0.059305
          34       3.3500     0.412340     0.019687     0.195735     0.057151
          35       3.4500     0.411133     0.018480     0.193630     0.055047
          36       3.5500     0.410005     0.017352     0.191576     0.052993
          37       3.6500     0.408952     0.016299     0.189572     0.050989
          38       3.7500     0.407968     0.015316     0.187618     0.049034
          39       3.8500     0.407050     0.014397     0.185713     0.047130
          40       3.9500     0.406193     0.013540     0.183859     0.045275
          41       4.0500     0.405393     0.012740     0.182053     0.043470
          42       4.1500     0.404646     0.011994     0.180296     0.041713
          43       4.2500     0.403950     0.011298     0.178586     0.040003
          44       4.3500     0.403302     0.010649     0.176924     0.038341
          45       4.4500     0.402699     0.010046     0.175307     0.036724
          46       4.5500     0.402137     0.009485     0.173735     0.035152
          47       4.6500     0.401616     0.008963     0.172207     0.033624
          48       4.7500     0.401132     0.008480     0.170722     0.032139
          49       4.8500     0.400684     0.008032     0.169278     0.030695
          50       4.9500     0.400270     0.007617     0.167874     0.029291
          51       5.0500     0.399888     0.007236     0.166509     0.027926
          52       5.1500     0.399537     0.006885     0.165181     0.026598
          53       5.2500     0.399216     0.006563     0.163890     0.025306
          54       5.3500     0.398922     0.006270     0.162632     0.024049
          55       5.4500     0.398656     0.006004     0.161408     0.022825
          56       5.5500     0.398417     0.005764     0.160216     0.021633
          57       5.6500     0.398203     0.005550     0.159054     0.020470
          58       5.7500     0.398014     0.005361     0.157920     0.019336
          59       5.8500     0.397849     0.005196     0.156813     0.018230
          60       5.9500     0.397708     0.005056     0.155731     0.017148
