           year          carbon        nitrogen
        0.00006       100.00000         0.75019
        0.00280        99.72875         0.76925
        0.00554        99.45914         0.78792
        0.00828        99.19115         0.80620
        0.01102        98.92478         0.82410
        0.01376        98.66001         0.84164
        0.01650        98.39684         0.85881
        0.01924        98.13525         0.87563
        0.02197        97.87522         0.89211
        0.02471        97.61676         0.90824
        0.02745        97.35985         0.92404
        0.03019        97.10448         0.93951
        0.03293        96.85063         0.95466
        0.03567        96.59830         0.96950
        0.03841        96.34747         0.98404
        0.04115        96.09814         0.99827
        0.04389        95.85030         1.01222
        0.04663        95.60392         1.02587
        0.04937        95.35901         1.03924
        0.05211        95.11555         1.05234
        0.05485        94.87354         1.06516
        0.05759        94.63295         1.07773
        0.06033        94.39378         1.09003
        0.06307        94.15602         1.10208
        0.06581        93.91967         1.11388
        0.06855        93.68470         1.12544
        0.07129        93.45111         1.13677
        0.07403        93.21888         1.14786
        0.07677        92.98802         1.15872
        0.07951        92.75850         1.16936
        0.08225        92.53032         1.17978
        0.08499        92.30347         1.18998
        0.08773        92.07794         1.19998
        0.09047        91.85371         1.20978
        0.09321        91.63078         1.21937
        0.09595        91.40914         1.22877
        0.09869        91.18878         1.23797
        0.10143        90.96968         1.24699
        0.10417        90.75185         1.25583
        0.10691        90.53526         1.26448
        0.10965        90.31991         1.27296
        0.11239        90.10579         1.28127
        0.11513        89.89289         1.28940
        0.11787        89.68121         1.29738
        0.12061        89.47072         1.30519
        0.12334        89.26143         1.31284
        0.12608        89.05332         1.32035
        0.12882        88.84638         1.32769
        0.13156        88.64060         1.33490
        0.13430        88.43599         1.34195
        0.13704        88.23252         1.34887
        0.13978        88.03018         1.35565
        0.14252        87.82898         1.36229
        0.14526        87.62889         1.36880
        0.14800        87.42992         1.37518
        0.15074        87.23204         1.38143
        0.15348        87.03527         1.38756
        0.15622        86.83957         1.39357
        0.15896        86.64495         1.39946
        0.16170        86.45140         1.40523
        0.16444        86.25891         1.41089
        0.16718        86.06747         1.41644
        0.16992        85.87708         1.42188
        0.17266        85.68771         1.42722
        0.17540        85.49938         1.43245
        0.17814        85.31206         1.43758
        0.18088        85.12575         1.44262
        0.18362        84.94045         1.44755
        0.18636        84.75613         1.45239
        0.18910        84.57281         1.45714
        0.19184        84.39046         1.46180
        0.19458        84.20908         1.46637
        0.19732        84.02867         1.47085
        0.20006        83.84921         1.47525
        0.20280        83.67070         1.47956
        0.20554        83.49313         1.48380
        0.20828        83.31649         1.48795
        0.21102        83.14078         1.49203
        0.21376        82.96598         1.49603
        0.21650        82.79209         1.49996
        0.21924        82.61911         1.50382
        0.22197        82.44703         1.50761
        0.22471        82.27583         1.51133
        0.22745        82.10551         1.51498
        0.23019        81.93607         1.51856
        0.23293        81.76750         1.52208
        0.23567        81.59978         1.52554
        0.23841        81.43292         1.52894
        0.24115        81.26691         1.53228
        0.24389        81.10174         1.53556
        0.24663        80.93740         1.53878
        0.24937        80.77389         1.54195
        0.25211        80.61120         1.54506
        0.25485        80.44932         1.54812
        0.25759        80.28825         1.55113
        0.26033        80.12799         1.55409
        0.26307        79.96851         1.55699
        0.26581        79.80983         1.55985
        0.26855        79.65192         1.56266
        0.27129        79.49480         1.56543
        0.27403        79.33844         1.56815
        0.27677        79.18284         1.57083
        0.27951        79.02801         1.57346
        0.28225        78.87392         1.57605
        0.28499        78.72058         1.57860
        0.28773        78.56798         1.58112
        0.29047        78.41611         1.58359
        0.29321        78.26497         1.58602
        0.29595        78.11456         1.58842
        0.29869        77.96486         1.59078
        0.30143        77.81587         1.59311
        0.30417        77.66758         1.59540
        0.30691        77.52000         1.59766
        0.30965        77.37311         1.59988
        0.31239        77.22691         1.60207
        0.31513        77.08139         1.60424
        0.31787        76.93655         1.60637
        0.32061        76.79238         1.60847
        0.32334        76.64888         1.61054
        0.32608        76.50604         1.61258
        0.32882        76.36386         1.61460
        0.33156        76.22234         1.61659
        0.33430        76.08145         1.61855
        0.33704        75.94121         1.62049
        0.33978        75.80161         1.62240
        0.34252        75.66264         1.62429
        0.34526        75.52429         1.62616
        0.34800        75.38657         1.62800
        0.35074        75.24946         1.62982
        0.35348        75.11297         1.63162
        0.35622        74.97708         1.63339
        0.35896        74.84180         1.63515
        0.36170        74.70712         1.63688
        0.36444        74.57303         1.63859
        0.36718        74.43953         1.64029
        0.36992        74.30661         1.64197
        0.37266        74.17428         1.64362
        0.37540        74.04251         1.64526
        0.37814        73.91133         1.64689
        0.38088        73.78070         1.64849
        0.38362        73.65065         1.65008
        0.38636        73.52114         1.65165
        0.38910        73.39220         1.65321
        0.39184        73.26380         1.65475
        0.39458        73.13595         1.65628
        0.39732        73.00864         1.65779
        0.40006        72.88187         1.65929
        0.40280        72.75564         1.66077
        0.40554        72.62993         1.66224
        0.40828        72.50475         1.66370
        0.41102        72.38009         1.66515
        0.41376        72.25594         1.66658
        0.41650        72.13231         1.66800
        0.41924        72.00920         1.66941
        0.42197        71.88658         1.67080
        0.42471        71.76447         1.67219
        0.42745        71.64286         1.67356
        0.43019        71.52175         1.67493
        0.43293        71.40112         1.67628
        0.43567        71.28099         1.67763
        0.43841        71.16134         1.67896
        0.44115        71.04217         1.68029
        0.44389        70.92347         1.68160
        0.44663        70.80525         1.68291
        0.44937        70.68750         1.68421
        0.45211        70.57022         1.68550
        0.45485        70.45340         1.68678
        0.45759        70.33704         1.68805
        0.46033        70.22114         1.68932
        0.46307        70.10569         1.69057
        0.46581        69.99069         1.69182
        0.46855        69.87614         1.69307
        0.47129        69.76204         1.69430
        0.47403        69.64837         1.69553
        0.47677        69.53514         1.69675
        0.47951        69.42235         1.69797
        0.48225        69.30998         1.69918
        0.48499        69.19805         1.70038
        0.48773        69.08654         1.70158
        0.49047        68.97545         1.70277
        0.49321        68.86478         1.70396
        0.49595        68.75453         1.70514
        0.49869        68.64469         1.70631
        0.50143        68.53527         1.70748
        0.50417        68.42625         1.70865
        0.50691        68.31763         1.70981
        0.50965        68.20942         1.71096
        0.51239        68.10161         1.71211
        0.51513        67.99419         1.71326
        0.51787        67.88717         1.71440
        0.52061        67.78054         1.71553
        0.52334        67.67429         1.71667
        0.52608        67.56844         1.71780
        0.52882        67.46296         1.71892
        0.53156        67.35787         1.72004
        0.53430        67.25315         1.72116
        0.53704        67.14881         1.72227
        0.53978        67.04484         1.72338
        0.54252        66.94125         1.72449
        0.54526        66.83802         1.72559
        0.54800        66.73516         1.72669
        0.55074        66.63266         1.72779
        0.55348        66.53052         1.72888
        0.55622        66.42874         1.72997
        0.55896        66.32731         1.73106
        0.56170        66.22624         1.73214
        0.56444        66.12552         1.73322
        0.56718        66.02515         1.73430
        0.56992        65.92512         1.73537
        0.57266        65.82544         1.73645
        0.57540        65.72610         1.73752
        0.57814        65.62711         1.73859
        0.58088        65.52845         1.73965
        0.58362        65.43012         1.74072
        0.58636        65.33213         1.74178
        0.58910        65.23447         1.74283
        0.59184        65.13714         1.74389
        0.59458        65.04013         1.74494
        0.59732        64.94346         1.74600
        0.60006        64.84710         1.74705
        0.60280        64.75107         1.74809
        0.60554        64.65535         1.74914
        0.60828        64.55995         1.75018
        0.61102        64.46487         1.75122
        0.61376        64.37010         1.75226
        0.61650        64.27564         1.75330
        0.61924        64.18149         1.75434
        0.62197        64.08764         1.75537
        0.62471        63.99411         1.75640
        0.62745        63.90087         1.75744
        0.63019        63.80794         1.75846
        0.63293        63.71531         1.75949
        0.63567        63.62297         1.76052
        0.63841        63.53093         1.76154
        0.64115        63.43919         1.76256
        0.64389        63.34774         1.76359
        0.64663        63.25657         1.76460
        0.64937        63.16570         1.76562
        0.65211        63.07512         1.76664
        0.65485        62.98482         1.76765
        0.65759        62.89480         1.76867
        0.66033        62.80507         1.76968
        0.66307        62.71562         1.77069
        0.66581        62.62645         1.77170
        0.66855        62.53755         1.77271
        0.67129        62.44893         1.77371
        0.67403        62.36059         1.77472
        0.67677        62.27251         1.77572
        0.67951        62.18471         1.77672
        0.68225        62.09718         1.77772
        0.68499        62.00992         1.77872
        0.68773        61.92292         1.77972
        0.69047        61.83618         1.78072
        0.69321        61.74971         1.78171
        0.69595        61.66351         1.78270
        0.69869        61.57756         1.78370
        0.70143        61.49187         1.78469
        0.70417        61.40644         1.78568
        0.70691        61.32127         1.78667
        0.70965        61.23635         1.78765
        0.71239        61.15168         1.78864
        0.71513        61.06726         1.78963
        0.71787        60.98310         1.79061
        0.72061        60.89918         1.79159
        0.72334        60.81552         1.79257
        0.72608        60.73209         1.79355
        0.72882        60.64892         1.79453
        0.73156        60.56599         1.79551
        0.73430        60.48329         1.79648
        0.73704        60.40085         1.79746
        0.73978        60.31864         1.79843
        0.74252        60.23667         1.79940
        0.74526        60.15493         1.80037
        0.74800        60.07344         1.80134
        0.75074        59.99217         1.80231
        0.75348        59.91114         1.80328
        0.75622        59.83035         1.80424
        0.75896        59.74978         1.80521
        0.76170        59.66945         1.80617
        0.76444        59.58934         1.80713
        0.76718        59.50946         1.80809
        0.76992        59.42981         1.80905
        0.77266        59.35038         1.81001
        0.77540        59.27118         1.81096
        0.77814        59.19219         1.81192
        0.78088        59.11344         1.81287
